Ahmadabad,30
Amreli,38
Anand,24
Banas-Kantha,25
Bharuch,47
Bhavnagar,32
Dohad,41
Gandhinagar,37
Jamnagar,31
Junagadh,30
Kachchh,32
Kheda,18
Mahesana,29
Narmada,43
Navsari,48
Panch Mahals,31
Patan,28
Porbandar,35
Rajkot,16
Sabar-Kantha,26
Surat,19
Surendranagar,26
Tapi,24
The Dangs,17
Vadodara,31
Valsad,25
